Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c1039,Ranking: 219 / 335,36.22,"{'0': ['set_cri', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_speed'], '3': ['set_cri_dmg', 'set_torrent'], '4': ['set_att', 'set_cri']}","{'0': '38.25', '1': '30.77', '2': '28.57', '3': '16.67', '4': '25'}","['c5110', 'c2011', 'c1104']","['c1133', 'c2024', 'c2112']"
c2043,Ranking: 137 / 335,43.62,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_max_hp', 'set_speed'], '3': ['set_cri', 'set_speed'], '4': ['set_counter']}","{'0': '42.61', '1': '48.84', '2': '38.03', '3': '48.28', '4': '46.67'}","['c2112', 'c1133', 'c5110']","['c5110', 'c2011', 'c2128']"
c2071,Ranking: 136 / 335,43.64,"{'0': ['set_cri_dmg', 'set_penetrate'], '1': ['set_counter', 'set_penetrate'], '2': ['set_penetrate', 'set_vampire'], '3': ['set_penetrate', 'set_speed'], '4': ['set_cri_dmg', 'set_immune']}","{'0': '43.5', '1': '46.2', '2': '41.49', '3': '37.39', '4': '45.57'}","['c5110', 'c1104', 'c2112']","['c5110', 'c2125', 'c2066']"
c4073,Ranking: 272 / 335,27.27,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c6037,Ranking: 103 / 335,45.98,"{'0': ['set_res', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_acc', 'set_speed']}","{'0': '45.93', '1': '44.62', '2': '48.36', '3': '48.8', '4': '42.81'}","['c2125', 'c5110', 'c2090']","['c5110', 'c2011', 'c1103']"
c2048,Ranking: 44 / 335,51.25,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_acc', 'set_acc', 'set_acc'], '3': ['set_acc', 'set_att'], '4': ['set_immune', 'set_speed']}","{'0': '51.52', '1': '50.7', '2': '49.13', '3': '45.05', '4': '50'}","['c5110', 'c2011', 'c2112']","['c1133', 'c2066', 'c5110']"
c1126,Ranking: 91 / 335,46.93,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_max_hp', 'set_speed'], '3': ['set_cri', 'set_speed'], '4': ['set_immune', 'set_speed']}","{'0': '47.06', '1': '46.31', '2': '50.55', '3': '50', '4': '59.26'}","['c5110', 'c2112', 'c2011']","['c5110', 'c1133', 'c2011']"
c3091,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2054,Ranking: 276 / 335,25.93,"{'0': ['set_acc', 'set_speed'], '1': ['set_penetrate', 'set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_counter', 'set_penetrate'], '4': ['set_cri', 'set_speed']}","{'0': '35.9', '1': '18.18', '2': '22.22', '3': '22.22', '4': '16.67'}","['c2011', 'c2112', 'c5110']","['c2125', 'c2106', 'c2066']"
c1008,Ranking: 130 / 335,44.12,"{'0': ['set_cri', 'set_def', 'set_max_hp'], '1': ['set_counter', 'set_def'], '2': ['set_counter', 'set_cri'], '3': ['set_counter', 'set_max_hp'], '4': ['set_counter', 'set_immune']}","{'0': '45.62', '1': '49.18', '2': '44.44', '3': '35.29', '4': '41.03'}","['c5110', 'c2112', 'c2011']","['c2113', 'c2070', 'c4044']"
c1060,Ranking: 14 / 335,55.09,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_speed'], '4': ['set_max_hp', 'set_max_hp', 'set_max_hp']}","{'0': '54.77', '1': '56.05', '2': '59.35', '3': '52', '4': '54.55'}","['c2090', 'c5110', 'c2011']","['c5110', 'c1162', 'c2112']"
c1107,Ranking: 55 / 335,50,"{'0': ['set_counter', 'set_penetrate'], '1': ['set_counter', 'set_def'], '2': ['set_res', 'set_speed'], '3': ['set_max_hp', 'set_speed'], '4': ['set_counter', 'set_res']}","{'0': '100', '1': '100', '2': '0', '3': '0', '4': '0'}",[],[]
c4141,Ranking: 306 / 335,11.11,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1034,Ranking: 84 / 335,47.41,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed', 'set_torrent'], '2': ['set_immune', 'set_speed'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_penetrate', 'set_speed']}","{'0': '47.81', '1': '55.61', '2': '43.51', '3': '43.82', '4': '50'}","['c5110', 'c2011', 'c2112']","['c1133', 'c2011', 'c5110']"
